%
% Comments go after a '%' sign.
%
%
% Relation: Dreams
%
%
% Attributes: 12     Instances: 16800
%
%

@relation Dreams

@attribute '0' numeric
@attribute 'Gender' numeric
@attribute 'Male' numeric
@attribute 'Animal' numeric
@attribute 'Friends' numeric
@attribute 'Family' numeric
@attribute 'Dead&Imaginary' numeric
@attribute 'Aggression/Friendliness' numeric
@attribute 'A/CIndex' numeric
@attribute 'F/CIndex' numeric
@attribute 'S/CIndex' numeric
@attribute 'NegativeEmotions' numeric

@data
7051,1.0,0.25,0.0,0.0,0.142857143,0.0,1.0,0.0142857143,0.0,0.0,1.0
3410,1.0,0.75,0.071428571,0.153846154,0.076923077,0.0,0.0,0.0,0.0,0.008928571375,0.5
7301,1.0,1.0,0.0,0.0,0.0,0.0,0.333333333,0.020000000000000004,0.07272727272727274,0.0,1.0
4630,1.0,0.0,0.0,0.0,0.333333333,0.0,0.0,0.0,0.09090909090909091,0.0,1.0
10887,1.0,0.333333333,0.0,0.0,0.090909091,0.0,0.666666667,0.0272727273,0.05785123963636364,0.034090909125,1.0
3652,1.0,0.0,0.0,0.0,0.666666667,0.0,1.0,0.16666666670000002,0.0,0.0,0.0
12864,1.0,0.25,0.0,0.0,0.428571429,0.0,0.666666667,0.0714285714,0.025974026,0.0,1.0
4671,1.0,0.4,0.0,0.111111111,0.222222222,0.0,1.0,0.011111111100000001,0.0,0.0,0.0
19680,0.0,0.666666667,0.0,0.2,0.6,0.0,1.0,0.06,0.0,0.0,1.0
16331,1.0,0.285714286,0.066666667,0.071428571,0.285714286,0.0,0.5,0.033333333300000004,0.006060606090909091,0.025,1.0
47,1.0,1.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0
11290,1.0,0.333333333,0.0,0.0,0.444444444,0.0,0.75,0.0777777778,0.020202020181818183,0.0,1.0
5090,1.0,0.0,0.2,0.0,0.25,0.0,0.0,0.04000000000000001,0.09090909090909091,0.025,0.5
10924,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0
20681,1.0,0.5,0.0,0.2,0.0,0.0,0.0,0.020000000000000004,0.05454545454545454,0.025,0.666666667
8470,0.0,0.333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.022727272727272728,0.0,0.0
5081,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
